Görev,Atanan,Kategori,Aşama,Son Tarih,Durum,Notlar
LinkedIn 2. içerik gönderisi,Sezgin Çolak,Pazarlama — Sosyal Medya,Aşama 1,03.09.2026,Bekliyor,
Video 3 çek + düzenle + yayınla (İçerik Takvimi),Sezgin Çolak,Pazarlama — Video,Aşama 1,03.09.2026,Bekliyor,
Video 4 çek + yayınla (Reklam Bütçe),Sezgin Çolak,Pazarlama — Video,Aşama 1,08.09.2026,Bekliyor,
Video 5 çek + yayınla (Geri Dönüş Senaryosu),Sezgin Çolak,Pazarlama — Video,Aşama 1,10.09.2026,Bekliyor,
Workshop duyurusu — LinkedIn + Instagram (8 Ekim),Sezgin Çolak,Pazarlama — Workshop,Aşama 1,10.09.2026,Bekliyor,
Kayıt linkini tüm kanallarda paylaş,Sezgin Çolak,Pazarlama — Workshop,Aşama 1,10.09.2026,Bekliyor,
Video 6 çek + yayınla (WhatsApp Script),Sezgin Çolak,Pazarlama — Video,Aşama 1,15.09.2026,Bekliyor,
KOSGEB ve TESK'e workshop teklif e-postası gönder,Sezgin Çolak,Pazarlama — Ortaklık,Aşama 1,15.09.2026,Bekliyor,
LinkedIn 3. içerik gönderisi,Sezgin Çolak,Pazarlama — Sosyal Medya,Aşama 1,17.09.2026,Bekliyor,
Video 7 çek + düzenle + yayınla (Rakip Analiz),Sezgin Çolak,Pazarlama — Video,Aşama 1,17.09.2026,Bekliyor,
Video 8 çek + yayınla (Chatbot — seri tamamlanır),Sezgin Çolak,Pazarlama — Video,Aşama 1,22.09.2026,Bekliyor,8 video serisi tamamlanır
Video seri özet carousel — LinkedIn,Sezgin Çolak,Pazarlama — Sosyal Medya,Aşama 1,22.09.2026,Bekliyor,
1. Workshop slaytlarını hazırla,Sezgin Çolak,Pazarlama — Workshop,Aşama 1,22.09.2026,Bekliyor,
Workshop son katılımcı listesi kontrolü,Sezgin Çolak,Pazarlama — Workshop,Aşama 1,24.09.2026,Bekliyor,
Hatırlatma e-postası taslağı hazırla,Sezgin Çolak,Pazarlama — E-posta,Aşama 1,24.09.2026,Bekliyor,
Eylül aylık KPI kontrolü,Sezgin Çolak,Pazarlama — Raporlama,Aşama 1,24.09.2026,Bekliyor,
Katılımcı listesini son kez gözden geçir,Sezgin Çolak,Pazarlama — Workshop,Aşama 1,29.09.2026,Bekliyor,
Hatırlatma e-postası gönder (1. Workshop),Sezgin Çolak,Pazarlama — E-posta,Aşama 1,29.09.2026,Bekliyor,
Demo senaryosunu prova et,Sezgin Çolak,Pazarlama — Workshop,Aşama 1,29.09.2026,Bekliyor,
8 Ekim workshop son kayıt duyurusu,Sezgin Çolak,Pazarlama — Workshop,Aşama 2,01.10.2026,Bekliyor,
Meta'da ₺250 test reklamı başlat (A versiyonu),Sezgin Çolak,Pazarlama — Reklam,Aşama 2,01.10.2026,Bekliyor,
Katılımcı sayısı son kontrolü,Sezgin Çolak,Pazarlama — Workshop,Aşama 2,06.10.2026,Bekliyor,
Ertesi gün için notlar ve hatırlatmalar hazırla,Sezgin Çolak,Pazarlama — Workshop,Aşama 2,06.10.2026,Bekliyor,
1. Workshop — canlı etkinlik (19:00–21:00),Sezgin Çolak,Pazarlama — Workshop,Aşama 2,08.10.2026,Bekliyor,Hedef: 30 katılımcı
Workshop takip e-postası gönder,Sezgin Çolak,Pazarlama — E-posta,Aşama 2,13.10.2026,Bekliyor,
Reklam A/B sonuçları analiz et,Sezgin Çolak,Pazarlama — Reklam,Aşama 2,13.10.2026,Bekliyor,
Meta'da ₺250 B versiyonu reklamı başlat,Sezgin Çolak,Pazarlama — Reklam,Aşama 2,13.10.2026,Bekliyor,
Basın bülteni yaz,Sezgin Çolak,Pazarlama — Medya & PR,Aşama 2,13.10.2026,Bekliyor,
Bülteni Girişim Haber + Webrazzi'ye gönder,Sezgin Çolak,Pazarlama — Medya & PR,Aşama 2,15.10.2026,Bekliyor,
5 podcast'e konuşmacı teklifi at,Sezgin Çolak,Pazarlama — Medya & PR,Aşama 2,15.10.2026,Bekliyor,
"SEO Blog 1 yaz + yayınla: ""KOBİler için 8 yapay zeka aracı""",Sezgin Çolak,Pazarlama — SEO & Blog,Aşama 2,15.10.2026,Bekliyor,
3 Kasım 2. workshop duyurusu,Sezgin Çolak,Pazarlama — Workshop,Aşama 2,20.10.2026,Bekliyor,
1. workshop geribildirimleriyle slaytları güncelle,Sezgin Çolak,Pazarlama — Workshop,Aşama 2,20.10.2026,Bekliyor,
Logo/Mikro ortak webinar teklifi gönder,Sezgin Çolak,Pazarlama — Ortaklık,Aşama 2,20.10.2026,Bekliyor,
"SEO Blog 2 yaz + yayınla: ""WhatsApp satış scripti nasıl yazılır?""",Sezgin Çolak,Pazarlama — SEO & Blog,Aşama 2,22.10.2026,Bekliyor,
LinkedIn video serisi özet carousel paylaş,Sezgin Çolak,Pazarlama — Sosyal Medya,Aşama 2,22.10.2026,Bekliyor,
Ekim aylık bülten hazırla + gönder,Sezgin Çolak,Pazarlama — E-posta,Aşama 2,27.10.2026,Bekliyor,Konu: Bu ay KOBİlerin en çok sorduğu 3 soru
3 Kasım workshop katılımcı listesi kontrolü,Sezgin Çolak,Pazarlama — Workshop,Aşama 2,29.10.2026,Bekliyor,
Hatırlatma e-postası gönder (2. Workshop),Sezgin Çolak,Pazarlama — E-posta,Aşama 2,29.10.2026,Bekliyor,
Ücretli plan sunumu için slayta bölüm ekle,Sezgin Çolak,Pazarlama — Workshop,Aşama 2,29.10.2026,Bekliyor,
3 aylık KPI'ları doldur ve değerlendir,Sezgin Çolak,Pazarlama — Raporlama,Aşama 2,03.11.2026,Bekliyor,
Kasım planını KPI sonuçlarına göre düzenle,Sezgin Çolak,Pazarlama — Raporlama,Aşama 2,03.11.2026,Bekliyor,
2. Workshop — canlı etkinlik (19:00–21:00),Sezgin Çolak,Pazarlama — Workshop,Aşama 3,05.11.2026,Bekliyor,Hedef: 50 katılımcı + ücretli plan tanıtımı
Workshop geribildirimlerini topla ve analiz et,Sezgin Çolak,Pazarlama — Workshop,Aşama 3,10.11.2026,Bekliyor,
Kasım–Aralık pazarlama planını güncelle,Sezgin Çolak,Pazarlama — Raporlama,Aşama 3,10.11.2026,Bekliyor,
Tesekkur sayfasi (lead formu sonrasi),Özden Çolak,Teknik — Altyapı,Aşama 2,30.09.2026,Bekliyor,"Brevo varsayilan onay sayfasi Ingilizce. WordPress'te Turkce tesekkur sayfasi + ""spam klasorune bakin"" notu; Brevo Settings > Confirmation page alanlarina baglanacak."
Workshop katilimci listesi uygulamada gorunsun,Özden Çolak,Teknik — Altyapı,Aşama 2,10.10.2026,Bekliyor,"Kayitlar su an YALNIZCA Brevo listesinde (""KolayKobi Workshop Kayit""); uygulamada hic izi yok, katilimci sayisi takip edilemiyor. Brevo API ile listeyi cekip yonetici panelinde goster. ON KOSUL: tum form duzenlemeleri bitsin (24 Eyl 2026 karari). Not: form cift onayli ise onaylamayan kayit listede gorunmez, sayim eksik cikar."
